Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee     Served model                Monthly tokens (B)  USD/MTok  Confidence
156  Cursor Ultra                           USD 200         Grok 4.6                    7.737               0.02585   medium
157  Cursor Ultra                           USD 200         Grok 4.5                    7.737               0.02585   medium
158  GLM Coding Max (v3 ¥1078) Off-peak     CNY 1078        GLM 5.3                     5.926               0.02684   high
159  Kimi Allegretto †                      $39 · CN ¥199   Kimi K3                     1.451               0.02688   medium
160  GLM Coding Lite (v3 ¥118) Peak         CNY 118         GLM 5.3 Flash               0.642               0.02711   high
161  DeepSeek V4 Flash API Peak             Pay-as-you-go   DeepSeek V4 Flash           -                   0.02773   high
162  Command Code GOAT                      USD 10          Qwen3.7 Plus                0.3579              0.02794   medium
163  GPT-5.6 Luna API                       Pay-as-you-go   GPT 5.6 Luna                -                   0.028     high
164  Cursor Ultra (Composer Fast)           USD 200         Composer 2.5                7.0587              0.02833   medium
165  OpenCode Go                            USD 10          DeepSeek V4 Pro             0.3524              0.02838   medium
166  Cursor Pro+                            USD 60          Grok 4.6                    2.0632              0.02908   medium
167  GLM Coding Pro (v3 ¥538) Off-peak      CNY 538         GLM 5.3                     2.54                0.03125   high
168  OpenCode Go                            USD 10          Kimi K2.6                   0.3151              0.03174   medium
169  Cursor Pro+ (Composer Fast)            USD 60          Composer 2.5                1.8823              0.03188   low
170  ChatGPT Plus                           USD 20          GPT 5.6 Sol                 0.616               0.03247   medium
171  ChatGPT Pro 5x                         USD 100         GPT 5.6 Sol                 3.08                0.03247   medium
172  Command Code GOAT                      USD 10          Hy4 Preview                 0.2957              0.03382   medium
173  GLM Coding Lite (v2 ¥49) Peak          CNY 49          GLM 5.3                     0.212               0.0341    high
174  GLM Coding Max (v3 ¥1078) Midpoint     CNY 1078        GLM 5.3                     4.445               0.03578   high
175  Command Code GOAT                      USD 10          Qwen3.6 Plus                0.2779              0.03598   medium
176  OpenCode Go                            USD 10          Kimi K2.7 Code              0.2731              0.03662   medium
177  Command Code GOAT                      USD 10          Kimi K2.7 Code              0.2731              0.03662   medium
178  SuperGrok Plus                         USD 100         Grok 4.7                    2.69                0.03717   medium
179  Command Code GOAT                      USD 10          DeepSeek V4 Flash Fast      0.2624              0.03811   medium
180  GLM Coding Lite (v3 ¥118) Off-peak     CNY 118         GLM 5.3                     0.423               0.04115   high
181  ChatGPT Plus                           USD 20          GPT 5.5                     0.4805              0.04162   medium
182  ChatGPT Pro 5x                         USD 100         GPT 5.5                     2.4024              0.04163   medium
183  GLM Coding Pro (v3 ¥538) Midpoint      CNY 538         GLM 5.3                     1.905               0.04166   high
184  Cursor Pro                             USD 20          Grok 4.6                    0.47                0.04255   medium
185  DeepSeek V4 Pro API Off-peak           Pay-as-you-go   DeepSeek V4 Pro             -                   0.04257   high
186  Command Code GOAT                      USD 10          GLM 5.2                     0.2341              0.04272   medium
187  SuperGrok                              USD 30          Grok 4.7                    0.672               0.04464   medium
188  SuperGrok Heavy                        USD 300         Grok 4.7                    6.72                0.04464   medium
189  Ollama Pro                             USD 20          MiniMax M3                  0.4338              0.0461    medium
190  Ollama Max                             USD 100         MiniMax M3                  2.1692              0.0461    medium
191  Cursor Pro (Composer Fast)             USD 20          Composer 2.5                0.4288              0.04664   medium
192  SuperGrok Plus                         USD 100         Grok 4.6                    2.04                0.04902   medium
193  OpenCode Go                            USD 10          GLM 5.2                     0.2007              0.04983   medium
194  OpenCode Go                            USD 10          GLM 5.1                     0.2007              0.04983   medium
195  Command Code GOAT                      USD 10          Gemini 3.8 Flash            0.1954              0.05118   medium
196  Command Code GOAT                      USD 10          Gemini 3.7 Flash            0.1954              0.05118   medium
197  ChatGPT Pro 20x                        USD 200         GPT-6 Astra                 3.812               0.05247   medium
198  GLM Coding Max (v3 ¥1078) Peak         CNY 1078        GLM 5.3                     2.963               0.05367   high
199  GLM Coding Lite (v3 ¥118) Midpoint     CNY 118         GLM 5.3                     0.317               0.05491   high
